chain,flag_type,reason,stimulus_id,subject_id,upstream_pointer,user
2,self,Other: could not hear,10,8d7e95f4a48341c69abe3ec24a395958,9,8d7e95f4a48341c69abe3ec24a395958
1,self,Other: my recording was not captured,16,8d7e95f4a48341c69abe3ec24a395958,12,8d7e95f4a48341c69abe3ec24a395958
1,self,Other: could not hear what was being said over the noise,33,8d7e95f4a48341c69abe3ec24a395958,13,8d7e95f4a48341c69abe3ec24a395958
1,stimulus,Other: could not hear what was said ,32,8d7e95f4a48341c69abe3ec24a395958,13,8d7e95f4a48341c69abe3ec24a395958
0,self,Other: could not hear what was being said at all,37,8d7e95f4a48341c69abe3ec24a395958,11,8d7e95f4a48341c69abe3ec24a395958
1,self,Other: could not hear ,1,8d7e95f4a48341c69abe3ec24a395958,13,8d7e95f4a48341c69abe3ec24a395958
0,self,Other: could not hear ,4,8d7e95f4a48341c69abe3ec24a395958,10,8d7e95f4a48341c69abe3ec24a395958
0,self,Other: could not hear ,8,8d7e95f4a48341c69abe3ec24a395958,7,8d7e95f4a48341c69abe3ec24a395958
2,self,Other: could not hear ,28,8d7e95f4a48341c69abe3ec24a395958,7,8d7e95f4a48341c69abe3ec24a395958
-1,self,Contains speech errors,44,134e9c1540ac4442b4af94e6ee7c54d5,-1,134e9c1540ac4442b4af94e6ee7c54d5
1,stimulus,Contains speech errors,4,134e9c1540ac4442b4af94e6ee7c54d5,2,134e9c1540ac4442b4af94e6ee7c54d5
0,self,Other: I can barely hear him and my mic is on max,28,1d3dc3af526d4e5a86b558f3bb525d3e,5,1d3dc3af526d4e5a86b558f3bb525d3e
2,self,Other: Can't hear them too quiet,7,1d3dc3af526d4e5a86b558f3bb525d3e,8,1d3dc3af526d4e5a86b558f3bb525d3e
-1,self,Other: There is air space at the end.,43,2f6a4921b3cd40298d0782542fd35e33,-1,2f6a4921b3cd40298d0782542fd35e33
0,self,Other: Could not understand any of it.,35,2f6a4921b3cd40298d0782542fd35e33,17,2f6a4921b3cd40298d0782542fd35e33
-1,stimulus,Contains speech errors,49,2f6a4921b3cd40298d0782542fd35e33,-1,2f6a4921b3cd40298d0782542fd35e33
0,self,Other: Could not understand a single word.,0,a85fea83395849aeaf138d8ca4a359ff,1,a85fea83395849aeaf138d8ca4a359ff
0,self,Other: Could not understand the second half of what was said.,34,a85fea83395849aeaf138d8ca4a359ff,3,a85fea83395849aeaf138d8ca4a359ff
