chain,flag_type,reason,stimulus_id,subject_id,upstream_pointer,user
0,self,Contains speech errors,13,edf8f705ab7241a191fa3ae24e381ebc,3,edf8f705ab7241a191fa3ae24e381ebc
0,self,Speech stops or starts abruptly / speech sounds cut off,27,edf8f705ab7241a191fa3ae24e381ebc,0,edf8f705ab7241a191fa3ae24e381ebc
-1,self,Other: someone accidentally came into the room when i pressed record and didn't know they were speaking,48,edf8f705ab7241a191fa3ae24e381ebc,-1,edf8f705ab7241a191fa3ae24e381ebc
0,self,Other: something is wrong with recorder,23,edf8f705ab7241a191fa3ae24e381ebc,2,edf8f705ab7241a191fa3ae24e381ebc
0,self,Other: could not understand,18,edf8f705ab7241a191fa3ae24e381ebc,4,edf8f705ab7241a191fa3ae24e381ebc
-1,self,Speech stops or starts abruptly / speech sounds cut off,42,edf8f705ab7241a191fa3ae24e381ebc,-1,edf8f705ab7241a191fa3ae24e381ebc
0,self,Speech stops or starts abruptly / speech sounds cut off,29,edf8f705ab7241a191fa3ae24e381ebc,3,edf8f705ab7241a191fa3ae24e381ebc
0,self,Speech stops or starts abruptly / speech sounds cut off,36,edf8f705ab7241a191fa3ae24e381ebc,3,edf8f705ab7241a191fa3ae24e381ebc
0,self,Other: I only heard half of the sentence and recorded what i heard,5,edf8f705ab7241a191fa3ae24e381ebc,1,edf8f705ab7241a191fa3ae24e381ebc
0,self,Speech stops or starts abruptly / speech sounds cut off,37,edf8f705ab7241a191fa3ae24e381ebc,2,edf8f705ab7241a191fa3ae24e381ebc
0,self,Other: could not hear what was said,6,edf8f705ab7241a191fa3ae24e381ebc,0,edf8f705ab7241a191fa3ae24e381ebc
0,self,Other: could not understand,9,edf8f705ab7241a191fa3ae24e381ebc,2,edf8f705ab7241a191fa3ae24e381ebc
0,stimulus,Contains speech errors,0,bbcab9c212ff4a859e2f0067f228467a,15,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,1,bbcab9c212ff4a859e2f0067f228467a,17,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains obscenities or objectionable content,3,bbcab9c212ff4a859e2f0067f228467a,18,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,4,bbcab9c212ff4a859e2f0067f228467a,15,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,5,bbcab9c212ff4a859e2f0067f228467a,18,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,6,bbcab9c212ff4a859e2f0067f228467a,8,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,7,bbcab9c212ff4a859e2f0067f228467a,17,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,8,bbcab9c212ff4a859e2f0067f228467a,21,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,9,bbcab9c212ff4a859e2f0067f228467a,16,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,11,bbcab9c212ff4a859e2f0067f228467a,17,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Speech stops or starts abruptly / speech sounds cut off,14,bbcab9c212ff4a859e2f0067f228467a,11,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,16,bbcab9c212ff4a859e2f0067f228467a,18,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Speech stops or starts abruptly / speech sounds cut off,17,bbcab9c212ff4a859e2f0067f228467a,15,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,18,bbcab9c212ff4a859e2f0067f228467a,25,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Speech stops or starts abruptly / speech sounds cut off,20,bbcab9c212ff4a859e2f0067f228467a,9,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,21,bbcab9c212ff4a859e2f0067f228467a,25,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,22,bbcab9c212ff4a859e2f0067f228467a,18,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains obscenities or objectionable content,23,bbcab9c212ff4a859e2f0067f228467a,22,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,25,bbcab9c212ff4a859e2f0067f228467a,11,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Speech stops or starts abruptly / speech sounds cut off,27,bbcab9c212ff4a859e2f0067f228467a,18,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains obscenities or objectionable content,28,bbcab9c212ff4a859e2f0067f228467a,9,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,29,bbcab9c212ff4a859e2f0067f228467a,19,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Speech stops or starts abruptly / speech sounds cut off,31,bbcab9c212ff4a859e2f0067f228467a,23,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,32,bbcab9c212ff4a859e2f0067f228467a,18,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,35,bbcab9c212ff4a859e2f0067f228467a,20,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,36,bbcab9c212ff4a859e2f0067f228467a,14,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,37,bbcab9c212ff4a859e2f0067f228467a,20,bbcab9c212ff4a859e2f0067f228467a
0,stimulus,Contains speech errors,38,bbcab9c212ff4a859e2f0067f228467a,24,bbcab9c212ff4a859e2f0067f228467a
-1,stimulus,Contains speech errors,42,bbcab9c212ff4a859e2f0067f228467a,-1,bbcab9c212ff4a859e2f0067f228467a
-1,self,Contains obscenities or objectionable content,46,bbcab9c212ff4a859e2f0067f228467a,-1,bbcab9c212ff4a859e2f0067f228467a
-1,stimulus,Speech stops or starts abruptly / speech sounds cut off,49,bbcab9c212ff4a859e2f0067f228467a,-1,bbcab9c212ff4a859e2f0067f228467a
-1,stimulus,Speech stops or starts abruptly / speech sounds cut off,50,bbcab9c212ff4a859e2f0067f228467a,-1,bbcab9c212ff4a859e2f0067f228467a
0,self,Speech stops or starts abruptly / speech sounds cut off,6,4abc2f62cd5b45a0b976ce96f8439374,4,4abc2f62cd5b45a0b976ce96f8439374
0,self,Other: muffled,29,5c0677627cc8438187eda14b606ac274,30,5c0677627cc8438187eda14b606ac274
0,self,Other: Could understand any of what was said,25,10a36c1554374641949a698f7b9a9691,6,10a36c1554374641949a698f7b9a9691
-1,self,Other: too loud,46,d0349fc6268e4cc185a52e5a7a1a6d97,-1,d0349fc6268e4cc185a52e5a7a1a6d97
0,self,Speech stops or starts abruptly / speech sounds cut off,0,1556cc858f0f4b60ad2b2cf3b60778a3,3,1556cc858f0f4b60ad2b2cf3b60778a3
0,self,Contains speech errors,33,dab01f9c0ba445e2bdf783471467f995,20,dab01f9c0ba445e2bdf783471467f995
0,self,Contains speech errors,36,ab43ac6a79884306bdc7de5f4583873d,8,ab43ac6a79884306bdc7de5f4583873d
0,self,Other: I could not hear any of the words being spoken,28,805b2dbf2fdc4b7da527a1990caa2cec,9,805b2dbf2fdc4b7da527a1990caa2cec
0,self,Contains speech errors,0,74afcbdee77241778bec3c75c48db3c4,0,74afcbdee77241778bec3c75c48db3c4
0,self,Contains speech errors,1,74afcbdee77241778bec3c75c48db3c4,1,74afcbdee77241778bec3c75c48db3c4
0,self,Contains speech errors,3,74afcbdee77241778bec3c75c48db3c4,0,74afcbdee77241778bec3c75c48db3c4
